0,1,2,3,4,5,6,7,8,9,10
69,"I managed to hit the bull&#039;s eye by throwing my white ladle.","A white</em>, <em>bound up</em>, <em>drop in the center is the bull&#039;s eye. (why Heisig had to use &quot;ladle&quot; instead of the original two primitives that make up &quot;ladle&quot; I&#039;ll never understand!)","You&#039;re outside at a BBQ making the white sauce to go with whats on the grill. You lift the ladle to your lips. Right after you close your eyes to take a taste, a drop of white bird shit falls into the ladle - &quot; Bull&#039;s Eye! &quot; the bird says. Not seeing the incident, you proceed to taste your &#039;white sauce&#039;.","This kanji is used most commonly for 的（てき）or teki</em>, which is the Japanese equivalent to the English suffix &#039;-ly&#039;. Example: 基本的（きほんてき）or <em>kihonteki</em>: <em>kihon</em> means &#039;basic&#039; or &#039;standard&#039; so <em>kihonteki means &#039;basically&#039;.","He scooped out the bull&#039;s eye with a white laddle.","Bull&#039;s eye! I shot my white</em> stuff in the <em>ladle!.","A white</em>, <em>bound up</em>, <em>drop in the center is the bull&#039;s eye.","The white bird</em> kept pecking at my sandwiches, so I grabbed a <em>ladle from the picnic basket and threw it at him. Bull&#039;s eye!","In Japanese archery the BULL&#039;S EYE is white</em> and about the size of a <em>ladle.","If a WHITE bird flies in though the window, hit it with the LADLE and shout &quot;bull&#039;s eye!&quot;"
70,"The V shape is your neck on top of your collar bone, or the straight line. Yourself, or the rest of your body is below that!","One has a strong NECK if one can carry HORNS on ONESELF.","There are no goddamn animal legs in the Kanji for neck</strong>. Stop thinking there are animal legs in the Kanji for<strong> neck. There are NONE!","When I think of a neck, I think of a giraffe. This kanji is just a pictograph of giraffe&#039;s face, with those little horns</em> on top and a big <em>nose.","With horns on oneself, you need a strong neck.","Nose is under horn. What&#039;s under nose? That&#039;s the neck!","Pshhh, drawing a neck is easy; just put two marks on a page.","necking will make oneself horny.","目自貝頁夏首 quite similar.... 1. 目 looks like an EYE 2. 自 referring to ONESELF by pointing just a drop away from your eyes, to your nose like Japanese do 3. 貝 Kanj looks like a SHELLFISH 4. 頁 one drop of ink from a shellfish fills a whole PAGE 5. 夏 one drop of sweat in your eye while running reminds you that it is summer 6. 首 horns on top, than the nose and than the NECK</strong>. (Be careful, many stories say 頁 means &quot;head&quot;. No, 首 means<strong> NECK and can also refer to head.)","Horns</em> on <em>oneself</em>. In France <em>horns</em> are a symbol you&#039;ve been cheated on (in other cultures too I think). Personally, I&#039;d rather have my head chopped off at the neck</strong>. (Or, story #2: <em>horns</em> on <em>oneself seem pretty heavy to carry and are sure to give you a very sore<strong> neck!)"
71,"This is a fish hook, that pulls out the fishguts.","Really this will rarely be seen as fishguts as a Kanji, usually it&#039;s 2nd party, or latter, generally always meaning 2nd in some way. It&#039;s easy to remember this as &quot;2nd&quot; since it looks like a 2. Then just remember it&#039;s a fishhook primitive like any other kanji that changes it&#039;s meaning as a primitive.","&quot;Knife goes in, guts come out&quot; (-Bart Simpson&#039;s mantra as he guts fish in &quot;30 Minutes Over Tokyo&quot;). To be more specific: first, cut a 乙-shape in the belly of the fish, second, pull the fishguts out. (Note that the most common meaning of this kanji is not &#039;fishguts&#039; as Heisig connotates, but &#039;second&#039;).","You cut a fish in a z shape on the belly to make it easier to open the fish and rip out its fish guts silly!","Fishgutz.","Fishguts</strong> are my <strong>2</strong><strong>nd favorite food.","Imagine if the Zodiac Killer targeted fish instead of people. He would kill fish and leave fishguts spewing all over the scene of the crime. Then he would leave his infamous mark: the mark of the Zodiac. (A slightly curved Z).","Zorro left his initial in the fishguts.","FishgutZ!","Ze fish are caught weeth ze fishgut bait on ze hook."
72,"The riot</strong> police broke up the<strong> riot</strong> by dragging the<strong> rioters away by their tongues</em> with <em>fishooks.","A tongue</em> with a <em>hook can cause a riot.","If my daughter took her tongue</em> and pierced it with a <em>fishhook, that would cause her mother and I to riot!","During a riot</em> in a totalitarian country, the leftist&#039;s <em>tongues</em> are <em>fishhooked by the police ( a way for me to remember that tongue is on the left of the kanji).","Rioters are punks with fish hooks in their tongues.","When tongues</em> 舌 become <em>barbed</em> 乚, a riot can ensue. This kanji is the title of the Kurosawa film <em>Ran. 乱暴、らんぼう, violence, roughness: 「ランボー」という映画は乱暴な映画だ, &quot;&#039;Rambo&#039; is a violent movie.&quot; 内乱、ないらん, internal strife, civil war; 乱筆、らんぴつ, hasty writing, scrawl.","A loose tongue</em> and an (on the) right <em>hook is all that needed to start a riot.","A tongue</em> and lots of <em>guts can stop a riot.","A flashing TONGUE and one right HOOK, and baby, you got a riot.","A riot starts when tongues hook the masses with propaganda."
73,"If you get a needle in your eye that is hooked in there, get to a hospital straightaway.","I caught a freaky creature with ten eyes on my fish hook, so I threw it back straightaway.","&quot;Cross my heart, hope to die, stick a needle</em> in my <em>eye</em>&quot;... and sit on a <em>fish hook if I ever tell a lie! Slight variant on what kids say straightaway if their word is put in doubt.","Ten eyes knew straightaway that there is something wrong with the hook.","Meanings: (1)<strong> Straightaway</strong>; straight (ahead); (2) direct; upright; erect; (3) straightforward; honest; frank.</strong> People who are <strong>frank, honest and straightforward live by the ethos: cross</em> my heart and hope to die; stick a needle in my <em>eye; if I ever tell a lie (the big L is for LIE).","The hook goes straightaway through the eye of a needle.","HINT: Heisig&#039;s story generates the keyword straightened</em>. It can have both this meaning e.g. 直線 （チョクセン) straight line and also <em>straight away</em> e.g. 直接 (チョクセツ)、直ぐ (すぐ). Another common sense is <em>fix or repair e.g. 直す(なおす).","L. knew straight away that Light was Kira. Even ten shinigami eyes couldn&#039;t stop L.","Ten</em> <em>eyes</em> on a <em>hook, straight away I&#039;d look!","A needle in the eye</em> doesn&#039;t hurt straightaway. A <em>hook in the eye does."
74,"Keep an eye on your tools while you work at the table.","One tool nobody should be without - a Mordor-type eye that floats over the workbench. It jerks around, monitoring all who come near, and if anyone so much as removes a stapler from the bench - ZAP.","You need a strong tool to remove the legs from a shellfish.","You need a strong a tool to separate the legs from a shellfish.","Like my shop teacher always said... In order to use any tool at your workbench</em> you must first make sure to wear your safety goggles to protect your <em>eyes.","The best tool is your eye.","Yeah, I caught her eyeing my tool.","For me this is a pictograph. What are the two most basic tool</strong>s every craftsman needs? A level (eye) and a<strong> tool bench.","One cut the Legs off of a Shellfish with a TOOL.","MEANING: Tool; utensil; means; possess; ingredients; counter for armor, suits, sets of furniture.</strong> STORY: For work, you need a good set of <strong>tools; a good pair of eyes</em> (目); a <em>bench</em> (一) to work on; and <em>eight (八) hours a day."
75,"A compass is a tool</em> with a <em>needle on top that points to true north.","Ten</em> <em>tools are all a true craftsman needs.","It&#039;s true</strong> that I got a needle stuck in my eye once. Luckily, we had a tool to pull the needle out from my eye.<strong> True story.","Ten eyes working together are the best tools to see what&#039;s true.","Cross my heart and hope to die, stick a needle</em> in my <em>eye</em> is a <em>tool used by children to affirm what they said as being true.","Reference to &quot;His Dark Materials&quot; Series The atheimometer is a tool</em> with a <em>needle which points to the truth.","When Oedipus learned the truth he plunged a needle</em> into his <em>eye</em>, crying &quot;I have been the <em>tool of Fate!&quot;","True swiss-army knives are &#039;ten&#039; &#039;tools&#039; in one!","With ten eyes</strong> as a <strong>tool</strong> you can see what is<strong> true.","A polygraph, a tool</em> with many <em>needles, scribbling what is true and what is not."
76,"I consider craft</strong> to be one of the harder primitives to use in stories so I&#039;ve personified it as Bender the<strong> crafty robot from Futurama who was designed to bend I-beams.","I crafty.","I-beams are used to CRAFT skyscrapers.","Icraft, beautifully crafted by apple!","I CRAFTed an artificial I-beam.","The pattern that bricks make. Building is a craft.","When you write this Kanji, you&#039;re writing the letter &quot;T&quot; and then 一(ichi). So you can make a sentence like &quot;T-ichi me how to make this CRAFT.&quot; or &quot;T-ichi me how to play World of WarCRAFT.&quot;, etc.","Who crafts</strong>? I<strong> craft!","Simply, this is the cross section of a I-beam used to craft a building.","It basically is an image of an H-beam and this kanji can mean craft</strong> or <strong>construction 工学【こうがく】engineering 工業【こうぎょう】(manufacturing) industry 工事【こうじ】construction work."
77,"The LEFT side</em> of my brain <em>posesses</em> the faculties needed for logical <em>crafts, like engineering.","The left side</em> of my brain, is for <em>crafts.","FOR THOSE ABOUT TO PUZZLE OVER THE CHANGING STROKE ORDER, IT&#039;S THIS SIMPLE: Look at the second primitive! Here, the first stroke of by one&#039;s side</em> should match the first stroke of <em>craft so that the stroke direction alternates in writing. So 左 is written horizontal, vertical, horizontal... 右 is written vertical, horizontal, vertical... 有 is vertical, horizontal, vertical... etc. (The ONLY exception to this rule comes with elbow [<a href="/study/kanji/0.000000E+009"To remember which one is right/left, think &quot;(l)Eft&quot;, as it contains the katakana &quot;e&quot;.","Sinister craft is done with the left hand.","The left socialists stand alongside</em> every <em>craft-man and woman.","To distinguish left</strong> from right, the sideways H always reminds me that it is hidari, the Japanese word for<strong> left.","工 will be the last one left.","Left</strong> is for crafting. Sideways L H =<strong> left hand.","Bender (the I-beam) uses his left hand to steal things while he&#039;s looking trustworthy with the other."
78,"The right side</em> of my brain is for <em>speaking.","The right</strong> hand is for putting food in your mouth. (The other hand is for ass-wiping!). 左右 (さゆう) : left and<strong> right</strong>, influence, control, domination; 右 (みぎ) :<strong> right hand side.","Always keep your right to free speech (mouth) by your side!","By my side</em> is a big <em>mouth who thinks they&#039;re always right.","A voice of reason by your side steers you right.","The Right</strong> way to put food in your Mouth is only with the<strong> Right hand.","My conscience is like a little mouth by my side, always telling me the right thing to do.","What comes out of my mouth is always right!!","R</em>ight uses the katakana <em>Ro (ロ).","The mouth can tell the right thing to do."
79,"Possessed by the Earth&#039;s gravity, the moon stays by its side.","By my side I POSSESS a  moon of flesh, better known as your big ass!","To possess</strong> = have or own something. In the fight for survival in prehistoric times, the most important thing to<strong> possess was meat by your side which could be eaten at any time. Imagine a caveman after a hunt having meat by his side.","The moon stood by my side: I was possessed, a lunatic.","With the moon at my side I transform into a werewolf. Oh no, I am possessed.","I possess ten</em> <em>moons... (It&#039;s a bit twisted, I know.)","Besides flesh, what do i possess?","If a vegetarian carried meat</em> <em>by their side, someone could think they were possessed!","The moon is possessed by the Earth&#039;s gravity, so the moon</em> stays <em>by its side.","Batman possess</strong>es a lot of cool gadgets that I don&#039;t <strong>have</strong>. He <strong>has</strong> them on the side</em> of his <em>body in his utility belt. Shark Repellent Bat Spray? Yeah, he <strong>has that."
80,"To bribe someone, money is a necessary possession.","If you possess enough shellfish, you can bribe anyone.","In order to bribe me you will have to give me all the clams</em> you <em>possess.","A shellfish</strong> is not the &#039;right&#039; <strong>possession</strong> to<strong> bribe with. (It&#039;s on the left).","If money is what possesses you, you will accept many bribes.","Here&#039;s how you bribe someone: sway money</em> in front of their eyes, back and forth back and forth, until they become <em>possessed</em> with a desire to <em>possess</em> the <em>money</em>. Once they are <em>possessed</em> with the desire to <em>possess</em>, they will do whatever you ask to <em>possess</em> the <em>money</em>. (Hint: In the <em>possessed</em> state, picture them with <em>money signs spinning in their eyes.)","For those who have trouble remembering the order ...&quot;Let me see the shellfish</em> first. If you <em>possess enough, I&#039;ll take the bribe.&quot;","Give him a few SHELLS</strong> and you&#039;ll <strong>POSSESS</strong> him... He&#039;s that easy to<strong> BRIBE!","Bribe is using MONEY to POSSESS something.","A BRIBE helps Shell</em> (Oil Co.) keep its <em>possessions is various unstable nations around the world."
81,"&quot;This next song is a TRIBUTE to a little SHELLFISH friend of mine who was tragically crushed by an I-shaped table.&quot;","Tribute is the craft of raising money.","Tribute is another form of taxation - a craft</em>y way of collecting &quot;<em>clams&quot; (money). 貢献 (こうけん) : contribution, services; 西貢 さいごん Saigon.","We must pay tribute to the crafty shellfish who always appears in our kanji.","I gladly pay my tribute to the tax collector: but what he doesn&#039;t know is that this is carely craft</em>ed <em>money - counterfeit!","Collecting tributes is the craft</em> of collecting <em>clams ($)</em> (note that craft is on top of the clam, as a tax ON money) (Also note that a <a href="/study/kanji/0.000000E+008"You must have heard of the tribute band Kraftwhelk.","I saw this and thought of the movie &quot;I, Robot&quot;. So I think of it as: A tribute - &quot;I, shellfish&quot;. :).","♫This is NOT!... the craftiest shellfish in the woorld!......... This is just a tribute!♫.","So Jack Black and Kyle were walking down the long and lonely road. With I-Beams on their shoulders. When all of a sudden, there shined a shiny demon! Who they beat with their I-Beams. Then he gave them his lunch money. &quot;This is just a tribute, you gotta believe it...&quot;"
82,"To write a paragraph is the craft</em> of grouping sentences on a <em>page.","To craft</em> a <em>page well, we need paragraphs.","Page and craft = pacraft -&gt; paracraft; said properly as paragraph.","Well, I tried using craft and headings and pages and none of it stuck, so: Reading a block of text that isn&#039;t broken down into paragraphs makes me want to hit myself in the head with an I-beam.","A well CRAFTED PAGE is full of beautiful PARAGRAPHS.","Well-craft</em>ed <em>pages require paragraphs.","Creating paragraphs is the craft</em> that goes on in a writer&#039;s <em>head.","Bender</em> hates it when you don&#039;t write in paragraphs, the resulting wall-of-text <em>page</em> makes him want to smash your <em>head</em> with an <em>I-beam that he bent to 30 degrees.","To craft a page = the art of laying out paragraphs.","Craft</em> of grouping sentences together on a <em>page</em>. To disambiguate from another <em>page / head</em> Kanji with which I repeatedly confused this, 題 <a href="/study/kanji/0.000000E+0090X0P+0183,"This SWORD is so sharp, it can cut the top part of カ off in カタナ.","Samurai carry two swords on their belt: a curved katana and a straighter, shorter wakizashi.","If you look really close this kanji looks like a person bending over touching the ground Waiting for someone to put there sword in his ass!","Looks like the handle on a pirate cutlass, a kind of sword.","Note : this is the kanji for the famous Japanese sword, also pronounced かたな (katana). As a primitive when it is compressed on the right of a kanji, its meaning becomes &quot;saber&quot;. In that case I like to associate the image of a ninja, making sure to keep it distinct from the &quot;samurai&quot;. The samurai would be the historical japanese warrior, while the ninja would be the more stealthy character popularised through modern martial arts movies.","The sword cut off the top of　ka.","Make sure not to cross the two strokes, or you might confuse it with <a href="/study/kanji/0.000000E+005  0X0P+0"The blade is broken at the handle so there&#039;s no telling if it was a SWORD</strong>, DAGGER or SABER. Just goes to show you that a<strong> SWORD is not the same as POWER (the kanji).","An old rapier style sword with the blade missing. (To clarify the image, the left hand curved stroke is the handle and the more vertical stroke is the hand guard).","Person bending over to the left waiting to have its head cut off by a SWORD."
84,"The part of a sword</em> where a <em>drop of blood can usually be found is the blade.","A drop of</strong> blood on the<strong> blade of my sword.","How do you know it is a real sword</em>? There is a <em>drop of blood on the blade.","Imagine Blade (Wesley Snipes) wiping the drops</em> of blood from his <em>sword after killing some vampires.","After cutting off poor カ&#039;s head, a drop</em> of blood still clings to the blade of the <em>sword.","There&#039;s a drop</em> of blood on the blade of the <em>sword.","Sword becomes a blade when it has drawn its first drop of blood.","The mark which differentiates the blade</strong> kanji from the <a href="/study/kanji/0.000000E+005"は … ① 刃</strong>の鋭いナイフを手に入れた … するどい、て、い.れた … I have a knife with a sharp<strong> blade</strong> …「<strong>やいば</strong>-<strong> blade、ジン、ニン」.","The blade if the part of the sword that can make you bleed."
85,"The seven samurai used their swords to cut their opponents.","Seven swords cut better than one.","The seven</em> samurai used their <em>swords to cut</strong> vegetables. (Easier to remember if it&#039;s a little silly. Imagine the seven samurai flailing about the kitchen dangerously swinging their katanas about, to<strong> cut stuff up for dinner.)","Actors filming &quot;The Seven Samurai&quot; respond to the director&#039;s command, &quot;CUT!&quot; by wielding their swords.","Be careful!!! Snow White has gone insane and CUT up the SEVEN dwarfs with a DAGGER.","We cut</strong> something up into seven</em> 七 pieces using a <em>dagger 刀. 切腹、せっぷく, ritual suicide, disembowelment (+ abdomen); 切ない、せつない, painful, distressing: 私はいつもそれを切なく思った, &quot;I always thought it distressing.&quot; 切る、きる, to<strong> cut; 一切れ、ひときれ, one slice, piece; 腹切り、はらきり, same as 切腹, less literary; 切手、きって, stamp (postage); 切符、きっぷ, ticket.","If you try to juggle seven</strong> <strong>sword</strong>s you will <strong>cut yourself.","If you attach a spoon</em> to a <em>sword, you can still get cut! [Like pensa said, the element on the left is a SPOON, not a seven.]","Seven swords cut better than one.","Careful: the left isn&#039;t seven (the first stroke right to left)! It&#039;s http://www.jisho.org/kanji/details/0.000000E+00586,"A man is easily seduced by a mouth to his &quot;sword.&quot;","When you seduce a girl you can put your sword in her mouth.","To seduce is to make a sword</em> of one&#039;s <em>mouth.","召す 【めす】 (v5s,vt) (1) to call; to send for; (2) to put on; to wear; to take (a bath); to ride in; to buy; to eat; to drink; to catch (a cold); (P) This kanji isn&#039;t anything sexual or anything. It means SUMMON/TO SEND/CALL FOR (as well as honorific form of eat/drink). STORY: A king is having a hard time EATING a piece of of meat b/c it can&#039;t fit in his MOUTH, so he CALLS FOR/SUMMONS someone to bring him his SWORD. (this keeps the eat/drink meaning of the kanji true as well).","To seduce is to accomplish with the mouth</em> what cannot (or should not) be done with a <em>sword.","With a sexy sword and your mouth alone, you could seduce anyone.","A mouth</em> under his &quot;<em>sword&quot; is an ideal way to seduce...","A woman easily seduces a man by putting his sword</em> in her <em>mouth.","I seduce women by putting my pork sword in their mouth ;).","I changed this to summon as I feel it more accurately describes the meaning of the kanji. STORY: Anyone who grew up in the 80&#039;s remembers how Lion-O SUMMONs the thundercats; by holding aloft his sword and yelling through mouth."
87,"Shining is the sun&#039;s seduction.","The sun was shining so bright that it seduced Icarus and he flew too close.","Edward Cullen SEDUCES Bella when she sees him SHINING in the SUN. That sparkly bastard.","The Sun Seduces with its Shining light.","The knight in shining armour was seduced in just one day.","In &quot;The Shining</strong>&quot;, Jack Nicholson is seduced after sun(down).<strong> SHINING= SEDUCE after SUN.","The shining sun</em> glinting off the <em>sword</em> made the <em>mouths go &quot;Oooooooh&quot;.","The shining leather costume of Hard Gay seduces</em> the light from the <em>sun</em> as he does his <em>seductive</em> humping moves in plain <em>daylight.","Revelation1 1:16 And he had in his right hand seven stars: and out of his mouth</em> went a sharp <em>two-edged sword</em>: and his countenance was as the <em>sun shineth in his strength. I wonder if there are any other single verses in the bible containing the meaning and all the elements of a kanji?","The shining sun</em> <em>seduced poor Icarus."
88,"When you have both money</em> and the power of the <em>sword, you can make the rules.","If you&#039;ve got CRABs on your SABER, then you didn&#039;t follow the rules of safe sex!","The world is ruled by money</em> and <em>sword.","A shellfish with a sword rules.","Screw the rules, I have money</em> and a <em>saber.","There are two things that rule this world: The money</em> and the <em>sword.","A shellfish with a saber would rule the underwater world.","Rule: All Clams must carry Swords.","One shellfish</em> with a <em>sabre to rule them all!","Picture a shellfish waving a long saber around, ordering everyone to follow the rules!"
89,"The wealthy</em> guy with the <em>sword standing next to the king, that&#039;s the vice-roy who does all the dirty work.","Vice-president Cheney: a wealthy saber rattler.","Vice-President Cheney shot a man in the face while hunting, as is common knowledge, I imagine. So think of it like a Clue answer and you will remember the symbol order as well. One</em> shot, in the <em>mouth</em>, on a <em>field</em>, with a <em>gun (a modern-day sword).","The Shogun&#039;s second in command, handling the wages: One mouth controlling the rice fields to pay for the swords (Japanese samurai got paid in rice).","The VICE president protected my WEALTH with his army of SABER wielding soldiers.","The vice</strong>-ruler is the right-hand</em> man of the <em>wealthy</em> ruler. As the right hand man, he has to do some of the dirty work and thus carries a <em>sword... Also, I think of Teddy Roosevelt when he was <strong>vice-president, possibly chosen to run with McKinley because he was a [weapon-toting] war hero.","He has one mouth, one piece of land and one sword so he is vice-sth; if he had two of each and one woman he would be the boss!","If you cut your wealth</em> (with a <em>saber) and share it, you are vice-owners.","The wealthy one with the sword on his right, he&#039;s the vice-captain of the army.","The vice-roy is a wealthy</em>, fat man that eats all the crops, and then goes bully everyone with his <em>saber."
90,"I don&#039;t know about you but to me this seems like someone&#039;s head is about to be separated from his body. You can see he&#039;s kneeling and his mouth is wide open gasping for the last breath he will ever take.","A wise old samurai keeps his hostages (with their mouths bound up</em> to keep them quiet) in a separate room from his <em>sabers. Putting them together would be a silly mistake.","The prisoner with the BOUND MOUTH was separated from his SABRE.","They separated me from the group. They gagged my mouth</em>, <em>bound</em> me up, and threatened me with a <em>saber.","The samurai felt helpless, with mouth</em> <em>bound</em>, and separated from his <em>sword.","In Empire Strikes Back, Luke was hanging upside down, muttered with his mouth</em> &quot;Ben, Ben, Ben&quot;, his feet <em>bound</em> in ice, he was separated from his light <em>sabre. And he could hear the monster coming for him.","The prisoners are kept separate by gagging their mouth</em>, keeping them <em>bound up</em> and guarding them with a <em>sword.","A man is kneeling on one knee, while a separate man is knighting him with a saber.","I mouth</em>ed 口 &quot;goodbye&quot; as we separated, me holding my <em>dagger</em> 刀 and him holding his <em>saber刂. 特別、とくべつ, special: 特別の理由はありませんでした, &quot;There was no special reason.&quot; それをするには特別な道具が必要だろう, &quot;You probably need a special tool to do that.&quot; 別れる、わかれる, to part: 父は私と別れて一人でギターを買いに行ってしまった, &quot;My father left me and went by himself to buy a guitar.&quot;","When you order a samurai, he comes bound up</em> in a <em>box</em> separate</strong> from his <em>sword</em> -- only safe way to ship him. <em>Sword sold<strong> separately."
91,"Today, the program &quot;Sesame Street&quot; is brought to you by the letter &quot;T&quot;.","Two streets make a T-intersection.","The street sign is nailed with a spike.","Any street with nails on it had best be avoided.","The word on the street is, &quot;Mr. T is a bad-ass!&quot;","StreeT.","The word &quot;sTreeT&quot; has Two T&#039;s.","The street ends in a T junction.","&quot;T&quot; is a street in Alphabet City. Don&#039;t confuse with <a href="/study/kanji/0.000000E+009"The Street sign was [nailed] [precisely] at the t-junction."
92,"Actually this means town, like one that has lots of streets</em> and is surrounded by all the <em>rice fields.","Getting this one confused with Town is easy, so remember it with this rhyme. &quot;Pillage the village, for the rice</em> and and the <em>tea.&quot; the street primitive on the right looks like a &#039;t&#039;.","Note: the keywords of <a href="/study/kanji/0.000000E+007"Streets</em> through <em>rice fields are only found in small villages.","I too switch <a href="/study/kanji/0.000000E+006"チョウ　まち A village/TOWN is nothing more than rice fields connected by streets.","In M. Night Shyamalan&#039;s The Village, Joaquin Phoenix passes through the field</em> into the forest, and discovers a modern <em>street.","Field of streets= village.","MUNICIPALITY as 2008: 県 : けん (ken) = <a href="/study/kanji/0.000000E+007"This means town</strong>, bigger than a<strong> village with rice fields</em> around it and lots of <em>streets</em> within it. Whereas <em>village</em> is just a few <em>trees glued</em> together. (<em>village</em> and <em>town are mistakes, see <a href="/study/kanji/0.000000E+00693,"A mouth on the street asking for things: &quot;Can I get some help?! Can</strong> I get directions,<strong> Can</strong> I have some money?<strong> Can you please speak English?!&quot;","I can eat nails.","A square box can fit in a corner.","On Main STREET America, what you hear in people&#039;s MOUTHs is &quot;Yes We CAN!&quot;","Can you speak</em> <em>street</em>? (as in street <em>talk).","If you can</strong> eat nails, you<strong> can do anything!","A big MOUTH on the STREET CAN get you in trouble.","I can has cheezburger</em>? (Note: I use <em>cheezburger as the primitive name for mouth).","Mouth</em> off to people in the <em>streets of New York City and you can get killed!","I think I can</strong>, I think I <strong>can, the little engine says with his mouth</em> as he spits <em>nails onto the track."
94,"If I put a street sign</em> on my <em>head what do I get ? A place on the head !","You&#039;ve probably noticed that even the rudest and crudest Japanese say &quot;Itadakimasu&quot; before every meal. Why? Because each person who failed to say it as a child had a nail driven straight into that tender PLACE ON THE HEAD (i.e. the very top of the head). That&#039;s a lesson no one will forget!","NAILS</em> - place directly on the <em>fore</em>head</strong>, <em>NAILS</em> - <strong>place directly on the <em>fore</em>head</strong>, <em>NAILS</em> - <strong>place directly on the <em>fore</em>head</strong>, The <strong>HEAD ON commercial <em>nail</em>s it into your <em>head......","Driving down the STREET, looking at a PAGE in the map, I hit another car, and started bleeding from a place on the head.","Nail</em> the <em>page</em> to the wall! <em>Place</em> a Bounty <em>On the head.","This formal metaphor for &#039;humble acceptance&#039; is taken seriously in Japan - so imagine a subservient employee kneeling and holding a nail to his head (specifically, the left side of his head) for his angry boss to hit!","チョウ　いただき　いただく　SUMMIT/TOP/RECEIVE HUMBLY: When the first mountain climber (a Japanese) reached the SUMMIT, he HUMBLY RECEIVED his prize (a golden snow picket resembling a giant NAIL) which he PLACED ON HIS HEAD with both hands while shouting &quot;頂きます!!!&quot;　E.G. 頂点（ちょうてん）apex; summit. 頂戴（ちょうだい）する　to　receive, be given; be presented with a a thing [with thanks].","This is to humbly receive. Japanese people bow in situations like this, often exaggeratedly so. You could imagine a Japanese person bowing so profusely upon accepting something that he could hammer in a nail with his head.","Humbly accept a nail being placed on the top of your head.","To stop myself forgeting the route down the STREET, I NAILED the PAGE of my map to a place on the head."
95,"A child who is ten</em> will still ask for his <em>ma (top looks a bit like katakana ma).","A pictograph of a child, with arms outstretched for mother (or perhaps because she is chasing a rat?). Note that this kanji occupies the first space on the Zodiac circle, and is the sign for the rat (such as 2008!).","A ten year old child with a baseball cap.","A child, from one to ten, before becoming a teen.","One complete child.","A child all wrapped up in a blanket with it&#039;s arms sticking out to give you a hug.","I&#039;d imagine most people knew this long before starting RTK. When they were still a child of kanji, perhaps?","Children have small feet and BIG heads!","A child who is ten with his hoodie on.","The child is all wrapped up, but you can see her head and arms stretched out."
96,"The child&#039;s arms flailed around at the sight of the hooked tool the dentist was going to use to fill his cavity.","I warned him about cavities, but the child</em> is still <em>hooked on sweets.","When a child</em> falls into a cavity we need a <em>hook to get them out.","A child hooked on candy canes (sweets) is bound to get a cavity.","コウ　//　HOLE　// &quot;Confucius pulled the child out of the hole using a big hook.&quot;　鼻孔　（びこう）nostril. 孔子　（こうし）Confucius.","A child</em> is scared of the dentists <em>hook. He fears he may have a cavity.","The child ate so many candy canes (hooks) that he got a cavity.","Children hooked on candy get many cavities.","A child</em> <em>hooked on sweets risks cavities in weeks.","Confucio ya desde niño</em> <em>enganchaba a la gente con su filosofía."
97,"The experiment was a complete failure! The child was made without any arms!","A child with the arms inside the blanket will be completely wrapped up.","The child in not complete. He&#039;s got no arms!","Don&#039;t be tempted to write another stroke and make 子. This kanji, 了, is already complete.","No parent can say their child rearing is complete until the child stops holding out his hand for money.","&quot;Your failure is complete&quot; says Darth Vader as he chops off his child&#039;s arms with his saber.","リョウ　COMPLETE; FINISH; UNDERSTAND. &quot;All parents UNDERSTAND</em> that their day is not COMPLETE</strong> until their <em>CHILD</em> is tucked snuggly in bed (with arms under the blanket).&quot; [<em>Note: This is the completion &quot;le&quot; in Chinese grammar.] E.G.: 終了する（しゅうりょう）to<strong> complete. 了解（りょうかい）understanding.","I use these two lines from Piano Man by Billy Joel: &quot;But its sad and its sweet and I knew it complete // When I wore a younger mans clothes...&quot; In fact he was so young that he was a child, and his clothes hid his arms.","You must be a ____ jerk to make fun of a CHILD with NO ARMS.","This child is not complete..."
98,"To remember the order of strokes, remember a female ninja is called a &quot;kunoichi&quot;. That is, く(hiragana) ノ(katakana) 一(kanji, ichi=one).","My mother taught me that a woman should always sit with her legs crossed (but the arms can be stretched out).","The woman has her legs crossed.","When a woman</strong> becomes a ninja she is called a kunoichi (<strong>くノ一).","To remember the stroke order, a female ninja is called a &quot;くノ一&quot;.","J. Lo is my kind of woman!","Crossed legs and hands out streched.","Looks kinda like a vag.","おんな … ① 男は狩人で、女</strong>はその獲物である … おとこ- <a href="/study/kanji/0.000000E+007"Look like XX for female chromosome."
99,"A woman</em> is fond of her <em>child.","Your wife and child: the thing you are most fond of.","Women are fond of children.","If you are fond of a woman</em>, she will make you a <em>child.","There is no fondness greater than what a woman</em> feels for her <em>child.","A MULHER</em> e a <em>CRIANÇA têm AFEIÇÃO um pelo outro.","I like girls/I&#039;m fond of girls. (Girl = female kid) (You&#039;ll never forget it like this).","You are fond of your woman</em> 女 and <em>child 子. 好物、こうぶつ, favorite food: カレーライスは彼女の大好物だ, &quot;Curry rice is her favorite food.&quot; 好む、このむ, to like, prefer; 好き、すき, likeable: 一番好きな果物はバナナだ, &quot;My favorite fruit is the banana.&quot; 私はサメが大好き, &quot;As far as I&#039;m concerned, sharks are lovable.&quot; 好き好き、すきずき, matter of personal preference.","A woman</em> is fond of her <em>child.","A woman likes her child."
